Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
337,Rodney Hood,SG,23,UTA,7,7,187,6.4,14.2,.446,1.7,6.5,.265,4.6,7.7,.600,2.3,2.3,1.000,0.6,2.7,3.3,3.9,1.5,0.8,2.1,5.6,16.7
338,Dwyane Wade,SG,34,MIA,8,8,230,8.3,19.3,.431,0.9,2.5,.375,7.4,16.7,.439,5.0,6.3,.800,0.8,2.5,3.3,5.5,1.3,0.9,2.7,2.2,22.5
339,Jose Calderon,PG,34,NYK,8,8,190,3.2,9.9,.327,1.5,4.9,.308,1.7,4.9,.346,0.6,0.6,1.000,0.6,2.7,3.2,4.2,1.1,0.0,1.3,3.2,8.5
340,Raymond Felton,PG,31,DAL,7,3,170,4.7,11.4,.407,0.8,2.3,.364,3.8,9.1,.419,1.1,1.1,1.000,0.6,2.5,3.2,3.8,0.4,0.0,2.3,3.2,11.2
341,Randy Foye,SG,32,DEN,7,0,114,3.8,12.9,.293,2.5,9.5,.267,1.3,3.5,.364,1.3,1.3,1.000,0.0,3.2,3.2,3.2,0.6,0.3,2.2,1.3,11.4
342,Damian Lillard,PG,25,POR,8,8,293,9.5,20.3,.467,3.7,8.6,.429,5.8,11.7,.495,4.4,4.9,.900,0.6,2.6,3.2,7.1,1.1,0.2,3.7,3.1,27.0
343,Allen Crabbe,SG,23,POR,8,1,177,5.1,11.4,.446,1.0,4.1,.250,4.1,7.3,.556,1.0,1.4,.714,0.4,2.6,3.1,1.8,1.4,0.2,1.2,3.3,12.2
344,Mario Hezonja,SF,20,ORL,8,0,118,4.3,11.9,.359,1.8,4.9,.375,2.4,7.0,.348,0.6,0.6,1.000,0.3,2.7,3.1,1.8,0.6,0.0,3.7,3.4,11.0
345,Justin Holiday,SG,26,ATL,6,0,92,4.3,11.0,.393,1.2,5.5,.214,3.1,5.5,.571,0.0,0.0,,0.8,2.3,3.1,2.3,1.6,1.6,1.6,3.1,9.8
346,Shane Larkin,PG,23,BRK,7,1,116,4.7,10.9,.429,0.0,1.2,.000,4.7,9.6,.484,1.6,2.2,.714,0.0,3.1,3.1,6.2,2.2,0.6,3.4,4.3,10.9
347,Patrick Mills,PG,27,SAS,7,0,149,5.8,11.1,.522,2.9,6.3,.462,2.9,4.8,.600,0.2,0.5,.500,0.5,2.7,3.1,5.1,1.9,0.0,1.7,2.7,14.7
348,Brian Roberts,PG,30,CHO,5,0,35,5.1,14.4,.357,0.0,2.1,.000,5.1,12.3,.417,2.1,3.1,.667,0.0,3.1,3.1,1.0,0.0,0.0,1.0,1.0,12.3
349,Dennis Schroder,PG,22,ATL,9,2,208,7.8,17.0,.459,1.9,5.5,.344,5.9,11.4,.515,1.6,1.7,.900,0.5,2.6,3.1,5.9,1.7,0.0,2.9,2.1,19.0
350,Kemba Walker,PG,25,CHO,7,7,221,6.4,14.7,.433,1.3,4.2,.308,5.0,10.4,.484,4.4,5.2,.844,0.7,2.4,3.1,6.2,1.6,0.5,2.3,1.6,18.4
351,Eric Gordon,SG,27,NOP,7,7,251,6.0,15.6,.385,3.2,8.6,.367,2.9,7.0,.408,2.6,3.0,.857,0.6,2.4,3.0,3.2,0.9,0.3,1.7,2.6,17.8
352,Reggie Bullock,SF,24,DET,4,0,25,0.0,5.8,.000,0.0,4.3,.000,0.0,1.4,.000,0.0,0.0,,1.4,1.4,2.9,0.0,0.0,0.0,1.4,2.9,0.0
353,Chris Copeland,PF,31,MIL,8,1,75,5.3,14.9,.355,3.4,10.1,.333,1.9,4.8,.400,1.4,1.4,1.000,0.5,2.4,2.9,1.9,0.5,0.0,1.4,3.8,15.4
354,Wesley Matthews,SG,29,DAL,6,6,151,3.6,11.4,.313,2.4,6.7,.357,1.2,4.8,.250,2.6,3.6,.733,0.5,2.4,2.9,1.9,0.5,0.0,1.2,2.9,12.2
355,James Anderson,SG,26,SAC,7,4,76,3.3,11.8,.280,2.4,7.6,.313,0.9,4.3,.222,2.8,3.3,.857,0.5,2.4,2.8,2.4,1.9,0.5,2.8,1.4,11.8
356,Jerryd Bayless,SG,27,MIL,8,3,245,4.1,10.6,.389,2.2,5.1,.429,1.9,5.4,.351,2.4,2.9,.800,0.3,2.5,2.8,4.3,1.3,0.4,2.4,2.2,12.8
357,Jordan Clarkson,SG,23,LAL,7,7,218,7.4,15.7,.474,1.7,4.0,.417,5.8,11.7,.493,1.8,2.5,.733,0.8,2.0,2.8,2.0,1.3,0.5,2.1,2.0,18.3
358,Tyus Jones,G,19,MIN,1,0,13,0.0,11.1,.000,0.0,0.0,,0.0,11.1,.000,2.8,5.5,.500,0.0,2.8,2.8,2.8,2.8,0.0,0.0,2.8,2.8
359,Elijah Millsap,SG,28,UTA,5,0,26,1.4,9.7,.143,0.0,1.4,.000,1.4,8.3,.167,0.0,0.0,,1.4,1.4,2.8,0.0,1.4,1.4,1.4,9.7,2.8
360,Lamar Patterson,SG,24,ATL,7,0,89,1.6,5.3,.308,1.2,3.2,.375,0.4,2.0,.200,2.4,3.2,.750,0.8,2.0,2.8,3.6,0.8,0.0,1.2,4.0,6.9
361,Jason Terry,SG,38,HOU,5,0,51,2.8,9.2,.308,0.7,6.4,.111,2.1,2.8,.750,0.0,0.0,,0.0,2.8,2.8,4.2,1.4,0.0,0.7,0.7,6.4
362,Devin Booker,SG,19,PHO,4,0,40,7.2,12.6,.571,1.8,2.7,.667,5.4,9.9,.545,0.9,2.7,.333,0.0,2.7,2.7,0.9,1.8,0.9,1.8,5.4,17.1
363,Jamal Crawford,SG,35,LAC,7,0,147,5.6,15.7,.359,1.0,4.9,.200,4.7,10.8,.432,4.9,5.4,.909,0.5,2.2,2.7,2.9,1.0,0.0,1.2,1.2,17.1
364,Raul Neto,PG,23,UTA,7,7,120,3.0,10.2,.294,1.8,5.1,.353,1.2,5.1,.235,0.3,0.6,.500,0.9,1.8,2.7,4.5,2.1,0.3,1.8,2.7,8.1
365,Beno Udrih,PG,33,MEM,8,0,120,6.0,13.8,.435,1.2,3.3,.364,4.8,10.5,.457,0.9,0.9,1.000,0.6,2.1,2.7,7.8,0.9,0.3,3.3,3.3,14.1
366,Nick Young,SG,30,LAL,7,0,135,6.7,15.7,.424,4.8,10.7,.450,1.9,5.1,.368,2.9,2.9,1.000,0.0,2.7,2.7,1.3,1.3,0.8,0.8,1.6,21.1
367,Tony Parker,PG,33,SAS,7,7,183,6.7,12.4,.540,0.4,0.4,1.000,6.3,12.0,.525,1.8,2.6,.692,0.2,2.4,2.6,4.5,0.6,0.0,3.0,2.6,15.5
368,Kevin Martin,SG,32,MIN,6,1,175,6.4,15.0,.425,1.2,4.3,.286,5.1,10.7,.481,7.8,9.3,.844,0.2,2.3,2.5,1.6,0.4,0.0,2.7,3.5,21.8
369,Marcus Smart,PG,21,BOS,3,3,99,4.4,11.3,.387,1.8,5.8,.313,2.5,5.5,.467,2.5,3.6,.700,0.4,2.2,2.5,4.0,2.5,0.7,0.7,3.3,13.1
370,Bojan Bogdanovic,SF,26,BRK,7,0,179,6.2,12.9,.484,1.4,4.2,.333,4.8,8.6,.558,1.8,2.8,.643,0.2,2.2,2.4,1.4,1.2,0.0,2.8,2.2,15.7
371,Ray McCallum,PG,24,SAS,4,0,15,2.4,7.2,.333,0.0,0.0,,2.4,7.2,.333,0.0,0.0,,0.0,2.4,2.4,2.4,4.8,0.0,4.8,4.8,4.8
372,Ronnie Price,PG,32,PHO,7,0,91,4.4,9.5,.458,2.8,6.7,.412,1.6,2.8,.571,2.0,2.0,1.000,0.0,2.4,2.4,4.0,2.8,0.4,2.0,5.1,13.5
373,Vince Carter,SG,39,MEM,1,0,16,2.3,9.0,.250,2.3,6.8,.333,0.0,2.3,.000,0.0,0.0,,0.0,2.3,2.3,0.0,2.3,0.0,2.3,4.5,6.8
374,Jrue Holiday,PG,25,NOP,5,5,110,7.2,17.3,.415,2.3,4.9,.467,4.9,12.4,.395,3.6,4.6,.786,0.0,2.3,2.3,7.9,1.6,0.3,5.6,2.6,20.3
375,C.J. Miles,SF,28,IND,5,4,139,4.7,12.4,.375,3.1,8.0,.387,1.6,4.4,.353,2.6,3.4,.769,0.5,1.8,2.3,1.6,2.6,0.3,2.6,2.8,15.0
376,Marco Belinelli,SG,29,SAC,8,1,223,4.8,13.1,.370,2.4,6.5,.375,2.4,6.6,.366,3.6,4.4,.815,0.3,1.8,2.1,4.0,0.8,0.0,1.8,2.1,15.7
377,Richard Jefferson,SF,35,CLE,8,2,202,4.6,9.4,.491,2.1,4.6,.462,2.5,4.8,.519,1.8,2.7,.667,0.2,2.0,2.1,1.4,0.9,0.2,1.8,3.7,13.2
378,Anthony Morrow,SG,30,OKC,7,0,84,3.0,9.9,.304,2.1,6.9,.313,0.9,3.0,.286,0.0,0.0,,0.4,1.7,2.1,0.4,2.1,0.0,0.9,2.1,8.1
